fact_checked_segment,comment_by_fact-checker,split,label
"“We indicated 23 years ago — in our 1994 Nature article — that climate models had the atmosphere’s sensitivity to CO2 much too high,” Christy said in a statement. “This recent paper bolsters that conclusion.”","This 23 years is likely where the mistake in the title comes from. Although the data in this Christy and McNider article from 1994 turned out to have major errors, for example not taking into account that the satellites drift, which caused the underestimation of the warming, it started the tradition of Christy and McNider being overconfident about the reliability of their data (“perhaps the best measurements of the Earth’s air temperature in terms of its global coverage and precision.”). And the tradition of immediately blaming climate models, ignoring many other independent lines of evidence on warming and climate sensitivity, when there can be many other reasons for the difference between their data and climate models. In this 1994 paper, Christy and McNider’s data showed almost no warming. In that respect one could say that 23 years of removing errors from the satellite temperature data has accelerated upper air warming.",train,cherry picking
"“Instead of negotiating over climate change policies and trying to make them more market-oriented, some political conservatives have taken the approach of blocking them by trying to undermine the science.”","On the scientific community side, the consensus is broad. It’s worth revisiting Cook et al. 2015*. In their review they find a 97% consensus about human-induced global warming in published climate studies. Cook et al (2016) Consensus on consensus: a synthesis of consensus estimates on human-caused global warming, Environmental Research Letters ",train,cherry picking
"“The UN has already said that 2016 is highly likely to break the annual record again, after 14 straight months of extreme heat aided by a hefty El Niño climatic event, a weather event that typically raises temperatures around the world.“","I would say that it increases ‘global mean temperature’. An El Niño does not necessarily imply warming everywhere on Earth. Also, especially pronounced are the warm conditions in the Arctic, which are not explicitly mentioned here, but do not relate to the strong El Niño.",train,cherry picking
since 1979 to the most reliable observations — those made by satellites and weather balloons over the vast tropics. ,"Beware of cherry-picking: It is not established that satellites are the “most reliable” observations, that the tropics are the best domain with which to compare observations or models, or that we should only consider post-1979 satellite era data.",train,cherry picking
"“ It has now, even after Hurricane Matthew, been over 4,000 days since a major hurricane (Category 3 or stronger) has made landfall in the U.S. ”","The definition of US major hurricane landfall is strict but also arbitrary, and isn’t a particularly good measure of coastal risk. The threshold of a major hurricane, and the restriction that the center of a hurricane must move over land is somewhat ad hoc and may obfuscate the points of relevance. For example, many coastal communities have experienced major hurricane landfalls over the past 4,000 days. They just don’t happen to be within the geopolitical border of the contiguous US. Matthew is in fact a good example for why the author’s statement is misleading. Matthew did a great deal of damage as a major hurricane without technically having its center touch land. The fact that it didn’t make formal landfall as a major hurricane is not particularly relevant when considering coastal hazard exposure and human mortality risk. ",train,cherry picking
The second big adjustment was over the Arctic Ocean,"This is not an adjustment. Some temperature datasets did not include parts of the Arctic in their estimates of the global mean temperature. Because the Arctic warmed much in this period, these datasets showed less short-term warming. This was taken into account in their uncertainty estimates, which should have been taken into account by people wrongly claiming global warming had stopped between 2000 and 2014.",train,cherry picking
“This article is the result of dozens of interviews and exchanges with climatologists and researchers in related fields”,"This sentence implies, somehow, that the scientific content of this article comes from these scientists, or that they agree with it. I don’t believe that this is entirely the case—e.g. see Michael Mann’s comments—and, the author should have mentioned that as a caveat here.",train,cherry picking
"“The ‘ancient carbon’ of Alaska’s tundras is being released, starting a vicious warming cycle ‘This is ancient carbon, thousands and millions of years old.’ It’s being released ‘much earlier than we thought.”","This is an interesting headline and quote. The article in PNAS uses atmospheric measurements of CO2 to derive sources and sinks from tundra and boreal forests. The study does not say that “this is ancient carbon, thousands and millions year old”… It could be, but there is no evidence for this in the paper. The paper only shows that atmospheric measurements indicate that Alaskan ecosystems have been a source of carbon in recent years (2012 to 2014).",train,evading the burden of proof
"“Or the news from Antarctica this past May, when a crack in an ice shelf grew 11 miles in six days, then kept going; the break now has just three miles to go — by the time you read this, it may already have met the open water, where it will drop into the sea one of the biggest icebergs ever, a process known poetically as ‘calving.’”","Although a particularly dramatic and well-observed example of how floating ice shelves calve icebergs into the ocean, there is little evidence that the crack in the Larsen C ice shelf is directly related to climate change. At best this is subject to considerable debate, as it is difficult to directly connect particular atmospheric and oceanic mechanisms to the cracking of this single, albeit large, proto-iceberg. For a very measured treatment of this topic, see the Guardian article by Professor Helen Fricker of Scripps Institute of Oceanography. Having now just calved an iceberg as of July 12, it is good to hear from the most experience experts how concerning this event is. A really great simple summary is provided by David Vaughan, Director of Science for the British Antarctic Survey, who has worked on the Antarctic Peninsula and studied regional ice shelves for decades. ",train,evading the burden of proof
“Ice-free means the central basin of the Arctic will be ice-free and I think that that is going to happen in summer 2017 or 2018.”,"There is no reason to believe that the sea ice cover will disappear this quickly. Our best estimate for this comes from climate models projections, which show that the Arctic could become ice free (less than a million square km) by mid-century — at the earliest — under business-as-usual emissions. Observations show that sea ice is declining somewhat faster than models predict, but even accounting for this suggests that an ice-free Arctic is decades away. ",train,evading the burden of proof
“What we don’t hear from her is that fewer people will die from cold.”,"Every report I have ever read about the impacts of climate change on temperature-related deaths discuss both the impacts of heat and cold. Such as the new USGCRP Health report: “Based on present-day sensitivity to heat, an increase of thousands to tens of thousands of premature heat-related deaths in the summer [Very Likely, High Confidence] and a decrease of premature cold-related deaths in the winter [Very Likely, Medium Confidence] are projected each year as a result of climate change by the end of the century. Future adaptation will very likely reduce these impacts (see Changing Tolerance to Extreme Heat Finding). The reduction in cold-related deaths is projected to be smaller than the increase in heat-related deaths in most regions [Likely, Medium Confidence].” Climate Feedback: This claim is not supported by available evidence and has been thoroughly discussed in a previous Climate Feedback analysis of an op-ed by Bjorn Lomborg.",train,evading the burden of proof
“Ice-free means the central basin of the Arctic will be ice-free and I think that that is going to happen in summer 2017 or 2018.”,"It is not clear whether a permanent or a one-year phenomenon is meant here (probably the former), but in any case the scientific support for the claim is weak. In the former case (permanent disappearance), this would not correspond to what most sea ice experts do consider. Indeed, section 11.3.4.1 of the last (2013) IPCC assessment report suggests a very low probability for permanent disappearance within the current decade. In fact, from the scientific literature it seems the phenomenon is more likely to take place during the period 2040-2060. Of course, a very low probability does not necessarily mean a zero probability, and IPCC’s report could possibly underestimate the odds for disappearance within the next few years. But before propagating a marginal view (relative to IPCC conclusions), one should ensure having a very strong argumentation; in this interview no argumentation is put forward to support Peter Wadhams’ central claim. In the other possible case (isolated single-year disappearance), it has to be said sea ice has strong year-to-year variability superimposed on its long-term declining trend, and no one has the tools to precisely predict the outcome one year in advance. Seasonal-to-decadal prediction groups equipped with physically-based models have some potential prediction skill for lead times up to 12-24 months, but they currently cannot guarantee to be right for any specific forecast (e.g.: Seasonal Forecasts of the Pan-Arctic Sea Ice Extent Using a GCM-Based Seasonal Prediction System and Pan-Arctic and Regional Sea Ice Predictability: Initialization Month Dependence). So, if it turns out in 2017 or 2018 that Wadhams was right, it will have been luck more than justified certainty. ",train,evading the burden of proof
can today’s climate models be trusted when scientists have misrepresented the data in the past?,"A strangely (deliberately?) vague swipe at climate science. The author presents no evidence that scientists have intentionally misrepresented “the data” in the past, or which data this refers to (either here, or later in the article). ",train,evading the burden of proof
"Sadly, these supposed experts use mathematical equations that do not jibe with reality over the past 140 years.","Experts tend to use mathematical equations. If the authors would like to claim an equation is wrong, they should state which one and provide a source. Otherwise it is just hot air.",train,evading the burden of proof
“Nor have various calamities that were supposed to have occurred by now materialized.”,"We predicted, 31 years ago, that hurricane intensity would increase with greenhouse gas concentrations. In 2013, Typhoon Haiyan set the world record wind speed in a landfalling tropical cyclone, and in 2015 eastern North Pacific Hurricane Patricia set an all time record for hurricane winds. Hurricane Irma of 2017 maintained category 5 status for longer than any storm on record. Do tell the residents of Tacloban, Puerto Rico, and the Virgin Islands that they have not experienced calamities.",train,evading the burden of proof
Actual weather records over the past 100 years show no correlation between rising carbon dioxide levels and local temperatures.,"Science only claims a relationship between carbon dioxide levels and the global temperature. Still, it would be nice if the authors would provide a source for their claim.",train,evading the burden of proof
"“If true, that means that the global warming we are currently undergoing is unparallelled within the last 100 million years”","The study suggests some periods of time may (according to one proxy) be cooler than originally thought, but this doesn’t change the “rate” of warming seen today. This isn’t anything to do with the study. There are confused messages coming out here about rate of change vs. absolute values. Certainly we are not reaching temperatures today that are warmer than over the last 100 million years, either with or without the results of this study.",train,evading the burden of proof
"“But scientific research indicates the world was last this warm about 115,000 years ago and that the planet has not experienced such high levels of carbon dioxide in the atmosphere for 4m years.”","This statement is overly confident and not based on a broad consensus in the literature. Even the cited study states “we cannot be certain that the current year is warmer than any single year earlier in the Holocene due to centennial smoothing of the Holocene stack and original resolution of the underlying proxy records”. The most recent IPCC assessment indicates only moderate confidence that 1983-2012 was the warmest 30-year period in the last 1,400 years and limited this to the Northern Hemisphere rather than the global average.",train,evading the burden of proof
"“Venus, which was once a very Earth-like planet with plenty of life-supporting water before runaway climate change rapidly transformed it into an arid and uninhabitable sphere enveloped in an unbreathable gas”","My expertise is not in exoplanetary climate, but it is not a definitively accepted “fact” that Venus was once habitable. There is still considerable debate regarding the past habitability of Venus (see links below). Therefore, this statement (which appears to imply that Venus’s climate trajectory is foreshadowing for Earth’s) comes off way too strong. Way et al (2016) Was Venus the first habitable world of our solar system?, Geophysical Research Letters Chassefière et al (2012) The evolution of Venus: Present state of knowledge and future exploration, Planetary and Space Science ",train,evading the burden of proof
“What we don’t hear from her is that fewer people will die from cold.”,"“While it’s true that cold may kill more people today than heat, Lomborg’s assertion that climate change will result in fewer overall deaths in the U.S. this century from extreme temperatures is not supported by available evidence.”",train,evading the burden of proof
"“Fires have not only been increasing in size due to climate change. In the early 20th century, state and federal governments began aggressively fighting wildfires and trying to keep them as small as possible. This has caused denser and more fire-prone forests than the long-term average for the West, which has led to more massive and uncontrollable fires.”","This statement should have included a citation and also noted that the influence of fire suppression on subsequent fire activity varies with the frequency of historical fires. The century of fire suppression has potentially increased fuel accumulation in dry forests that historically experienced very frequent fires (e.g. every 5-20 years). On the other hand, fire suppression has likely had far less of an impact on wetter forests, such as those in coastal Oregon and Washington, that historically went centuries without fire.",train,evading the burden of proof
"“In the U.S. about 9,000 people die from heat each year but 144,000 die from cold.”","Where do these numbers come from? According to a review of national health statistics: During 2006–2010, about 2,000 U.S. residents died each year from weather-related causes. About 31% of these deaths were attributed to exposure to excessive natural heat, heat stroke, sun stroke, or all; 63% were attributed to exposure to excessive natural cold, hypothermia, or both; and the remaining 6% were attributed to floods, storms, or lightning. This statement also confuses seasonal mortality with mortality from extreme events. As noted in Ebi and Mills, this distinction is important for understanding what could happen with climate change.",train,evading the burden of proof
“global warming causes about as much damage as benefits.”,"This claim is not supported by any source. Read the IPCC synthesis report Summary for Policy-Makers (SPM) headlines for a balanced assessment: “Continued emission of greenhouse gases will cause further warming and long-lasting changes in all components of the climate system, increasing the likelihood of severe, pervasive and irreversible impacts for people and ecosystems.” … ",train,evading the burden of proof
"“Fires have not only been increasing in size due to climate change. In the early 20th century, state and federal governments began aggressively fighting wildfires and trying to keep them as small as possible. This has caused denser and more fire-prone forests than the long-term average for the West, which has led to more massive and uncontrollable fires.”","This statement should have included a citation and also noted that the influence of fire suppression on subsequent fire activity varies with the frequency of historical fires. The century of fire suppression has potentially increased fuel accumulation in dry forests that historically experienced very frequent fires (e.g. every 5-20 years). On the other hand, fire suppression has likely had far less of an impact on wetter forests, such as those in coastal Oregon and Washington, that historically went centuries without fire. ",train,evading the burden of proof
"“I would certainly not call such [superstorm] scenarios ridiculous,” said Coumou. “But it is speculative – we don’t have the hard evidence.”","The superstorm scenario rests on a number of assumptions, especially that the rate of ice melt from Greenland (and Antarctica) will accelerate very rapidly. Definitely still in the realm of speculation. ",train,evading the burden of proof
"“Furthermore, the overall increases in such things as hurricanes and tornadoes have not materialized.”","Again, this statement is not supported by the science. We are seeing changes. We just don’t have long enough data records to formally detect the changes and attribute them to human influence. The rules of detection and attribution are well established, strict, and conservative. The author’s statement here is outside of the rules and can’t be supported in any true formal scientific sense. […] It’s wrong and unsupportable to say that there have been no changes. Our theory of hurricanes and our best numerical models inform us that hurricanes will become stronger as the world warms, and that the increase will be most evident in the strongest hurricanes. These are the hurricanes that kill the most people and do the most damage. Furthermore, increases in strength or number are not the only ways that hurricanes can change. There is mounting evidence that tropical cyclones in various regions of the world are migrating poleward. This creates significant changes in hazard exposure and human mortality risk, even in the absence of any changes in strength.",train,evading the burden of proof
The most recent IPCC report lays out a future if we limit global heating to 1.5°C instead of the Paris Agreement’s 2°C.,"The article doesn’t mention it, but it’s worth pointing out that the underlying report criticizes the IPCC for being too “reticent” and gives an erroneous example: it claims that mean global temperatures will accelerate beyond the IPCC’s projections since human greenhouse gas emissions are themselves accelerating. Emissions ARE accelerating exponentially, leading to exponential CO2 atmospheric fraction increase, but exponential growth in CO2 fraction leads to linearly increasing global mean temperature.",train,evading the burden of proof
[subsidies for wind and solar] add to emissions because coal-fired elec­tricity needs to be on standby for when there is no wind or sunshine. ,"Baseless and, in regions where this has been studied, false. For example, in Illinois1. And this ignores more efficient ways of reducing backup emissions, such as energy storage like batteries. 1- Valentino et al (2012) System-Wide Emissions Implications of Increased Wind Power Penetration, Environmental Science & Technology ",train,evading the burden of proof
"“[…]looking to the future, mass coral bleaching on the Great Barrier Reef will likely be an annual phenomenon within a decade, Torda said.”","This may turn out to be true but most studies place annual bleaching, especially on the Great Barrier Reef, a bit further out—perhaps 2050. van Hooidonk et al (2013) Temporary refugia for coral reefs in a warming world, Nature Climate Change   ",train,evading the burden of proof
"Skeptics claim such anomalies prove that Earth can quickly warm and cool even in the absence of carbon dioxide, and any warming today may be caused by similar natural events.","And climate scientists would agree—a large volcanic eruption will quickly (albeit temporarily) cool the Earth. Critically, there is zero evidence that present day warming is caused by anything other than human activity.",train,evading the burden of proof
“All this could play out in a mere 20 to 50 years — much too quickly for humanity to adapt.”,"This is a statement that is difficult to justify without a reference to scientific evidence. The current knowledge of time scales involved with rapid ice sheet loss is poor (i.e., solely based on ice sheet models that are crude)—that’s the primary reason why the “How Much How Fast” US-UK program was established.",train,evading the burden of proof
"Some experts think we’re on track to hit 550 ppm by the end of the century, which would cause average global temperatures to rise by 6 degrees Celsius","This assumes a very high climate sensitivity compared to most IPCC-class models. Can the authors give a source for where they got this estimate? It appears to be a quote from the previous link, which itself has no reference either. Most estimates tend to fall around 3 ˚C/doubling, and 550 is ~1 doubling of CO2 vs. pre-industrial of 280 ppm. So that would suggest ~3˚C total, of which maybe 1 ˚C has already happened. Maybe one saving grace here is that 550 ppm is perhaps one of the more conservative estimates for the end of the century.",train,evading the burden of proof
"“According to the satellites, the late 2016 temperatures are returning to the levels they were at after the 1998 El Nino.”","Not based on any evidence. Just like the warming peak due to El Niño was higher in 2016 than in 1998, the period after 2016 will be warmer than the years after 1998 due to the progress of global warming. ",train,evading the burden of proof
Concurrently a compilation of all days since 1915 when temperatures exceeded 90F shows them decreasing with time rather than increasing in Figure 2.,"The figure again has no source, no way to check how it was computed. Days over 90F focuses on maximum temperature and summer days, the data most affected by the Dust Bowl.",train,evading the burden of proof
"People who study the impacts of global warming have found that if ECS is low — say, less than two — then the impacts of global warming on the economy will be mostly small and, in many places, mildly beneficial. If it is very low, for instance around one, it means greenhouse gas emissions are simply not worth doing anything about.","This passage is misleading. It seems to imply that society has already decided to exactly double CO2 concentrations and has committed to emitting no further greenhouse gasses after that. If that were the case, then we could in fact assess climate change impacts in the manner done here. However, society is far from committing to stabilizing CO2 concentrations at “only” twice their preindustrial levels. We may go well beyond that. In that case, lower equilibrium climate sensitivity just means that it takes longer to reach a given level of warming. So even if climate sensitivity turns out to be very low, all the worst impacts could still be realized—they would just be delayed.",train,evading the burden of proof
[headline:] Climate Change ‘Heat Records’ Are a Huge Data Manipulation,This is the biggest and most ludicrous claim of the article—the claim that will be read most and shared most on social media—and the article provides no evidence the data was manipulated.,train,evading the burden of proof
"“At a cost of between $1 trillion and $2 trillion annually, the Paris climate agreement, recently ratified by China, is likely to be history’s most expensive treaty. It will slow the world’s economic growth to force a shift to inefficient green energy sources.”","Not sure how these costs are derived—references would be good. […] These treaty costs may appear unprecedented, but so are the risks posed by climate change. Climate change “costs” are hard to quantify precisely – for instance, how to give a monetary value to the loss of certain ecosystems?—but likely to be quite significant. This recent study in Nature, for instance, indicates that: “If future adaptation mimics past adaptation, unmitigated warming is expected to reshape the global economy by reducing average global incomes roughly 23% by 2100 and widening global income inequality, relative to scenarios without climate change”. Burke et al (2015) Global non-linear effect of temperature on economic production. Nature ",train,evading the burden of proof
Climate projections also assume […] that a temporary terrestrial vertebrate on an evolving planet can change major planetary and extraterrestrial systems.,"This is the “argument from incredulity” logical fallacy. Ian Plimer is so bemused by the physics of climate change science, he refuses to accept its conclusions.",train,evading the burden of proof
"“Consider where they move. Migration patterns show people heading for warm states like Texas and Florida, not snowy Minnesota and Michigan.”","This focuses on average climate rather than on extremes, and such patterns of migration are based on our knowledge of the past. As the frequency of extreme hot days increases, as the number of extreme hurricanes increases, and as sea levels rise, people may find that Florida is not so attractive after all.",train,false analogy
"” ‘You’ve only got to look at Singapore. It’s two-and-a-half times higher than the worst-case scenario for climate change, and it’s one of the most desirable cities in the world to live in.’ ”","I am not sure I understand Lovelock’s point about Singapore. Singapore is a relatively wealthy, urbanized country, with an economy that is not highly weather dependent. One would expect Singapore to be able to adapt to temperature changes with far greater ease than would a poor agrarian economy. Also, several studies have projected massive increases in sea-level as a consequence of climate change. Most of Singapore is within 15 meters of sea-level. Thus, if CO2 emissions continue, we can expect most of Singapore to be underwater within a few centuries.",train,false analogy
"Globally averaged thermometers show two periods of warming since 1900: a half-degree from natural causes in the first half of the 20th century, before there was an increase in industrial carbon dioxide that was enough to produce it, and another half-degree in the last quarter of the century.","The earlier warming (~0.3-0.4 °C) is about a third to a half of the warming since the 1970s (0.8-0.9 °C). They are not comparable, and selecting “the last quarter” of the 20th century to ignore the warming since 2000 misleads readers. Secondly, human activity was sufficient to cause warming in the first half of the 20th century.",train,false analogy
"“Therefore, scientists now have observed evidence validating climate model projections”",I think this is a strong statement. The authors are not validating model predictions against observations—they are comparing model predictions to an extrapolation obtained from 25 years of data.,train,false analogy
"“Venus, which was once a very Earth-like planet with plenty of life-supporting water before runaway climate change rapidly transformed it into an arid and uninhabitable sphere enveloped in an unbreathable gas”","There’s been a lot written about this recently, following the BBC’s publicising of Stephen Hawking’s remarks on it.  I don’t think it is accurate to say that Venus was “once a very Earth-like planet” and hence imply that the runaway greenhouse effect could happen here. For one thing, Venus is much closer to the sun. A runaway greenhouse effect on Earth is not thought to be a plausible threat.",train,false analogy
"“But scientific research indicates the world was last this warm about 115,000 years ago and that the planet has not experienced such high levels of carbon dioxide in the atmosphere for 4m years.”","At the last interglacial period 115,000 years ago, increased solar intensity was responsible for the added warmth, but today’s high CO2 was last seen in the atmosphere 3-5 million years ago. At that time, global mean temperatures were a couple of degrees higher than present, and sea levels were several metres higher than present.",train,false analogy
"“While scientists are loathe to attribute any single event to changes in the climate, they state that warming temperatures are helping tip the scales towards altered precipitation. Some, however, bristle at the belief that because floods and storms have always occurred, they should not be linked to climate change”","It is true that floods and storms always have occurred, but they have always ocurred for a physical reason. This may be evidence suggesting that these phenomena are rather sensitive to a climate change, if modest natural changes in physical conditions already give rise to variations in the floods and storm activity. We now know that the earth’s atmosphere is changing (increased CO2 and a global warming). It would be naive to think that floods and storms do not change when important factors change while they have always changed in the past. It is also important to think about these concepts in a risk-analysis frame, and it is important to plan for various plausible scenarios.",train,false analogy
"“they do know that in acid waters, oysters and mussels will struggle to grow their shells, and that when the pH of human blood drops as much as the oceans’ pH has over the past generation, it induces seizures, comas, and sudden death.”","Human blood chemistry is regulated in a way the sea water is not, so this statement is only marginally relevant. ",train,false analogy
"“Earth’s climate system is unfathomably complex. […] The more variables there are in any system or train of events, the lower the probability of all of them coming to pass. Your odds of correctly guessing the outcome of a flipped coin are 1 in 2, but your odds of guessing correctly twice in a row are only 1 in 4 — i.e., ½ x ½ Extending your winning streak to a third guess is even less probable: just 1 in 8.”","Yes, it is complex, but not unfathomable. The basics are simple—the energy budget at Earth’s surface is controlled by the intensity of sunlight reaching the ground and the amount of greenhouse gas in the atmosphere. That’s it. This analogy implies everything is happening randomly in the climate system. This is not the case. There is a great deal of structure imposed by the laws of fluid motion and energy transfer, and by the basic geometry and rotation rate of the Earth. ",train,false analogy
"“The contrast in precipitation between wet and dry regions and between wet and dry seasons will increase, although there may be regional exceptions.”","While this picture might provide a leading order approximation, it is mostly valid over the oceans. Over land, recent research has shown that the “wet get wetter, dry get drier” picture does not really apply and things are a little more complex (e.g., see: Byrne and O’Gorman. “The Response of Precipitation Minus Evapotranspiration to Climate Warming: Why the “Wet-Get-Wetter, Dry-Get-Drier” Scaling Does Not Hold over Land” Journal of Climate (2015).)",train,false analogy
"“In those years, the jet stream deviated deeply southwards over those regions, pulling down savagely cold air. Prof Adam Scaife, a climate modelling expert at the UK’s Met Office, said the evidence for a link to shrinking Arctic ice was now good: ‘The consensus points towards that being a real effect.’”",This refers to a southward shifted jet in response to sea ice loss (a negative North Atlantic Oscillation pattern). It’s not clear at all that this is the same kind of behaviour as suggested by the quoted scientists. ,train,false analogy
"The data showed European average ​temperatures were more than 2C above normal and temperatures were 6-10C above normal over most of France, Germany and northern Spain during the final days of the month, according to C3S.","It is not a good idea to combine numbers for the full month and all of Europe with numbers for a few days and a part of Europe. That double difference makes it hard to understand and easy to miss one of the differences when casually reading it. 6-10 degrees Celsius for the entire month would have been special, but for a few days it is not.",train,false analogy
"Renew­ables such as wind turbines are environmentally disastrous because they pollute a huge land area, slice and dice birds and bats, kill insects that are bird food, create health problems for humans who live within kilometres of them, leave toxins around the turbine site and despoil the landscape.","There is no comparison here with the alternatives. For example, the claimed wind turbine health damages, for which the author shows evidence of zero deaths, should be compared with the millions of deaths that the World Health Organisation links to pollution every year, much of which is from fossil fuels.",train,false analogy
"“Through decades of research, it has become clear that human civilization, roughly 6,000 years old, developed during an unusually stable period for global sea levels.”","The last 6,000 years have been unusually stable for the period of time that we are able to constrain rates of sea-level change particularly well (at sub-millennial timescales): see, for example, Lambeck et al (2014) Sea level and global ice volumes from the Last Glacial Maximum to the Holocene.",train,false analogy
"“this event poses severe risks to health — particularly for children and the elderly […] an extreme 2003 heat wave that affected Paris and Europe, and which has indeed been connected to climate change through statistical attribution analysis […] killed hundreds of people in Paris and London, and a recent study attributed at least some of those deaths, themselves, to climate change.”",When the 2003 European heatwave occurred it killed 70 000 people. At the time the likelihood of that event occurring had doubled due to human influence. Now an event like this is 10 times more likely due to human influence. References: Stott et al (2004) Human contribution to the European heatwave of 2003. Nature. Christidis et al (2015) Dramatically increasing chance of extremely hot summers since the 2003 European heatwave. Nature Climate Change. Trigo et al (2005) How exceptional was the early August 2003 heatwave in France?. Geophysical Research Letters. ,train,false analogy
"“Healthy societies do not fall apart over slow, widely predicted, relatively small economic adjustments of the sort painted by climate analysis. Societies do fall apart from war, disease or chaos. Climate policy must compete with other long-term threats for always-scarce resources.”","To suggest that climate change does not bear (or has little bearing) upon war, disease, and chaos represents either an exceedingly narrow and optimistic view of available peer reviewed research on the influence of climate change on these outcomes or ignorance. The extraordinary threat that climate change already poses to national security was outlined by the U.S. Defense Department in 2015. Research on climate change and infectious disease risks suggests that it either directly (through changes in mosquito population distributions) or indirectly (through forcing mass migrations) will augment risks of pandemics.",train,false analogy
"“Moreover, its warming impact decreases sharply after the first 20 or 30 ppm. Adding more CO2 molecules to the atmosphere is like painting over a red wall with white paint — the first coat does most of the work of concealing the red. A second coat of paint has much less of an effect, while adding a third or fourth coat has almost no impact at all.”","The effects of CO2 do not decrease sharply after the first 20 or 30 ppm. The radiative effects of CO2 are logarithmic, so they increase slightly less the higher CO2 gets but they don’t decrease sharply.",train,false analogy
"“The Alaskan tundra is warming so quickly it has become a net emitter of carbon dioxide ahead of schedule, a new study finds”","The study doesn’t really say that. The PNAS study itself focused on 3 years (2012-2014) for which aircraft measurements were taken from April to November, and finds that Alaskan tundra was a source of carbon for 2 of these 3 years (2012 is a small sink). Then these flux estimates are compared to  data from CMIP5 models for those particular years. However,  the PNAS paper does not assess when these CMIP5 models become sources of CO2. One would need to see long time series of the CMIP5 models, along with longer time series of aircraft measurements and inferred carbon fluxes to estimate when each turn from sink to sources.",train,false authority
"“Severe ‘snowmageddon’ winters are now strongly linked to soaring polar temperatures, say researchers, with deadly summer heatwaves and torrential floods also probably linked.”","“Strongly linked” is an overstatement here. There is some evidence, but I don’t think a majority of climate scientists would make claims as strong as these. ",train,false authority
"A new report has warned there’s an existential risk to humanity from the climate crisis within the coming decades, and a ‘high likelihood of human civilization coming to an end’ over the next three decades unless urgent action is taken.","The “report” is not a peer-reviewed scientific paper. It’s from some sort of “think tank” who can basically write what they like. The report itself misunderstands / misrepresents science, and does not provide traceable links to the science it is based on so it cannot easily be checked (although someone familiar with the literature can work it out, and hence see where the report’s conclusions are ramped-up from the original research).",train,false authority
“It has never been shown that human emissions of carbon dioxide drive global warming.”,"Virtually all statements in this article have been proven wrong so many times by scientific experts that it is unreasonable to once again show that they are wrong. But I want to focus on the statement “it has never been shown” only. How can one claim that the impact of anthropogenic greenhouse gas emissions has “never been shown that…”? Clearly, for this author, science per se either does not exist or else has no credibility whatsoever. Surely then, scientific research itself cannot exist, there is no geology to find coal resources, no studies “of natural processes such as ocean degassing”, etc. From this, one can only conclude that we actually cannot know anything—not even the things that this author believes to be true.",train,false authority
Yet other scientists claim this is a red herring because of the positive feedback loop created by water vapour.,"This entire article is a mess of false equivalency. It is not a case of “some scientists say this, while others say this”. There is the scientific consensus (the so-called 97%) and then there are a few fringe scientists such as Willie Soon who have been comprehensively proven to produce poor work riddled with errors.1 Benestad et al (2015) Learning from mistakes in climate research, Theoretical and Applied Climatology ",train,false authority
This is a critical error. Getting the tropical climate right is essential to understanding climate worldwide.,"This is only a critical error because they’re desperate to discredit the models. If the disagreement were in the polar regions, they’d be talking about how important it is to get the polar regions right. Obviously, you want to get everything right, but we live on the surface, so getting that right is the most important—and the models do that.",train,false authority
“The peer-reviewed study by two scientists and a veteran statistician looked at the global average temperature datasets[…]”,As far as I can tell the linked report is not accepted for any journal and thus peer-reviewed is willfully misleading at best.,train,false authority
The noted oceanographer Walter Munk referred to sea-level rise as an “enigma”,"It is interesting that this opinion piece starts off with “Munk’s enigma”. This was introduced by famed oceanographer Walter Munk in a 2002 paper published in Proceedings of the National Academy of Sciences. The enigma refers to a key discrepancy between the amount of sea-level rise believed to have occurred during the 20th century and the effects it should have produced on the planet — specifically, on the Earth’s rotation. So in addition to all the devastating and obvious effects sea-level rise will produce on the planet, such as flooding and erosion, sea-level rise also has the more subtle, but nonetheless mind-boggling ability to alter the way the Earth rotates on its axis. In a recent paper, Jerry Mitrovica and an interdisciplinary team of colleagues claim to have resolved the enigma. They reinforce the awe-inspiring power of climate change to produce global-scale effects, changing the planet’s very rotation. I don’t understand the relevance of citing Walter Munk to support Singer’s argument.",train,false authority
“[Sea ice] also helps regulate the planet’s temperature by influencing the circulation of the atmosphere and ocean. It can affect weather in the U.S.”,There is currently no consensus in the scientific community about the magnitude of Arctic-lower-latitudes teleconnections compared to other teleconnections (e.g. from the tropics). This statement has to be taken with caution.,train,false authority
